order,name,family,page,row,col,hex,note,swatch_file,px,status,shopify_name,classic_product,in_grades
17,BOHEMIAN,Cinzas,9,3,5,#3B3C3E,,BOHEMIAN.jpg,467x467,live,BOHEMIAN,[1/7],
18,DOMINO,Cinzas,9,3,6,#1F2122,with black backing,DOMINO.jpg,467x467,live,DOMINO,[1/7],
19,MONACO,Cinzas,9,4,1,#A2A3A8,,MONACO.jpg,467x467,live,MONACO,[4/7],
20,SILVERPLATE,Cinzas,9,4,2,#A9A198,,SILVERPLATE.jpg,467x467,live,SILVERPLATE,[1/7],
21,GULL,Cinzas,9,4,3,#61625E,,GULL.jpg,467x467,live,GULL,[1/7],
22,DEPOSIT,Cinzas,9,4,4,#67605D,,DEPOSIT.jpg,467x467,live,DEPOSIT,[1/7],
23,METEOR,Cinzas,9,4,5,#393838,,METEOR.jpg,467x467,live,METEOR,[1/7],
24,TYRE,Cinzas,9,4,6,#252727,,TYRE.jpg,467x467,live,TYRE,[1/7],CHANCE Outdoor
25,SILENT,Brancos / neutros,10,1,1,#E7E2D0,,SILENT.jpg,467x467,live,SILENT,[5/7],
26,ALLURING,Brancos / neutros,10,1,2,#E5DBCC,,ALLURING.jpg,467x467,live,ALLURING,[5/7],CHANCE Outdoor
27,VAPOUR,Brancos / neutros,10,1,3,#DAD2C7,,VAPOUR.jpg,467x467,live,VAPOUR,[5/7],
28,STRING,Brancos / neutros,10,1,4,#C9BDAC,,STRING.jpg,467x467,live,STRING,[1/7],
29,VEIL,Brancos / neutros,10,1,5,#B2ADA6,,VEIL.jpg,467x467,live,VEIL,[1/7],
30,PASSIVE,Brancos / neutros,10,1,6,#8D8271,,PASSIVE.jpg,467x467,live,PASSIVE,[7/7],
31,ALABASTER,Brancos / neutros,10,2,1,#F6EAC8,,ALABASTER.jpg,467x467,live,ALABASTER,[5/7],
32,COLONY,Brancos / neutros,10,2,2,#DECEBF,,COLONY.jpg,467x467,live,COLONY,[5/7],
33,CHIFFON,Brancos / neutros,10,2,3,#DAD2C3,,CHIFFON.jpg,467x467,live,CHIFFON,[1/7],
34,DOVE,Brancos / neutros,10,2,4,#D5CCBB,,DOVE.jpg,467x467,live,DOVE,[5/7],
35,RAINY DAY,Brancos / neutros,10,2,5,#CEC2B7,,RAINY-DAY.jpg,467x467,live,RAINY DAY,[5/7],
36,OYSTER,Brancos / neutros,10,2,6,#AA9A87,,OYSTER.jpg,467x467,live,OYSTER,[5/7],
37,TALLOW,Brancos / neutros,10,3,1,#EFD9BB,,TALLOW.jpg,467x467,live,TALLOW,[5/7],CHANCE Outdoor
38,IVORY,Brancos / neutros,10,3,2,#E9D6BD,,IVORY.jpg,467x467,live,IVORY,[5/7],CHANCE Crib 5
39,TRAVERTINE,Brancos / neutros,10,3,3,#F9E2C7,,TRAVERTINE.jpg,467x467,live,TRAVERTINE,[5/7],
40,ARCHIVE,Brancos / neutros,10,3,4,#E0CFB5,,ARCHIVE.jpg,467x467,live,ARCHIVE,[5/7],
41,MOON,Brancos / neutros,10,3,5,#BBB2A1,,MOON.jpg,467x467,live,MOON,[1/7],CHANCE Crib 7 | B1
42,CORD,Brancos / neutros,10,3,6,#B6A292,,CORD.jpg,467x467,live,CORD,[5/7],
43,FULLMOON,Brancos / neutros,10,4,1,#E1C59A,,FULLMOON.jpg,467x467,live,FULLMOON,[5/7],
44,ANGORA,Brancos / neutros,10,4,2,#E2CDB9,,ANGORA.jpg,467x467,live,ANGORA,[5/7],
45,GORGEOUS,Brancos / neutros,10,4,3,#F2D6B9,,GORGEOUS.jpg,467x467,live,GORGEOUS,[5/7],
46,SOFTER,Brancos / neutros,10,4,4,#E7D1B6,,SOFTER.jpg,467x467,live,SOFTER,[5/7],CHANCE Crib 7 | B1
47,HARBOUR,Brancos / neutros,10,4,5,#C4B49A,,HARBOUR.jpg,467x467,live,HARBOUR,[5/7],CHANCE Outdoor
48,ZEN,Brancos / neutros,10,4,6,#B09C8A,,ZEN.jpg,467x467,live,ZEN,[5/7],CHANCE Outdoor
49,HAY,Bege / areias,11,1,1,#D9B185,,HAY.jpg,467x467,live,HAY,[5/7],
50,SERENITY,Bege / areias,11,1,2,#D0C2A8,,SERENITY.jpg,467x467,live,SERENITY,[5/7],
51,NAVAJO,Bege / areias,11,1,3,#DBC9B5,,NAVAJO.jpg,467x467,live,NAVAJO,[5/7],
52,SOLÉ,Bege / areias,11,1,4,#D3BA94,,SOL-.jpg,467x467,live,SOLÉ,[5/7],
53,LATTE,Bege / areias,11,1,5,#C0A98D,,LATTE.jpg,467x467,live,LATTE,[5/7],CHANCE Outdoor
54,SHIITAKE,Bege / areias,11,1,6,#AA9882,,SHIITAKE.jpg,467x467,live,SHIITAKE,[5/7],
55,TATAMI,Bege / areias,11,2,1,#CB976A,,TATAMI.jpg,467x467,live,TATAMI,[5/7],
56,BISCUIT,Bege / areias,11,2,2,#C0A881,,BISCUIT.jpg,467x467,live,BISCUIT,[5/7],
57,SUNKISS,Bege / areias,11,2,3,#E2B78D,,SUNKISS.jpg,467x467,live,SUNKISS,[5/7],
58,CAMEO,Bege / areias,11,2,4,#CFB99D,,CAMEO.jpg,467x467,live,CAMEO,[5/7],CHANCE Outdoor
59,DESERT,Bege / areias,11,2,5,#B89F85,,DESERT.jpg,467x467,live,DESERT,[5/7],CHANCE Mediflex
60,AVENUE,Bege / areias,11,2,6,#AA917B,,AVENUE.jpg,467x467,live,AVENUE,[5/7],
61,MALTON,Bege / areias,11,3,1,#CDA17C,,MALTON.jpg,467x467,live,MALTON,[5/7],
62,ECRU,Bege / areias,11,3,2,#B7A07C,,ECRU.jpg,467x467,live,ECRU,[5/7],CHANCE Mediflex
63,PERU,Bege / areias,11,3,3,#B0845B,,PERU.jpg,467x467,live,PERU,[5/7],
64,LION,Bege / areias,11,3,4,#B69984,,LION.jpg,467x467,live,LION,[5/7],
65,IRON,Bege / areias,11,3,5,#796C61,,IRON.jpg,467x467,live,IRON,[1/7],
66,HAVANA,Bege / areias,11,3,6,#817569,,HAVANA.jpg,467x467,live,HAVANA,[5/7],CHANCE Outdoor
67,OWLET,Bege / areias,11,4,1,#B39271,,OWLET.jpg,467x467,live,OWLET,[5/7],
68,BRONZE,Bege / areias,11,4,2,#9B8466,,BRONZE.jpg,467x467,live,BRONZE,[5/7],
69,AUTUMNAL,Bege / areias,11,4,3,#A87D55,,AUTUMNAL.jpg,467x467,live,AUTUMNAL,[5/7],
70,MUTED,Bege / areias,11,4,4,#8C786B,,MUTED.jpg,467x467,live,MUTED,[5/7],
71,TRUFFLE,Bege / areias,11,4,5,#7B6B59,,TRUFFLE.jpg,467x467,live,TRUFFLE,[3/7],
72,MOUNTAIN,Bege / areias,11,4,6,#6F695D,,MOUNTAIN.jpg,467x467,live,MOUNTAIN,[3/7],
73,TAUPE,Castanhos,13,1,1,#938373,,TAUPE.jpg,467x467,live,TAUPE,[5/7],"CHANCE Crib 5, CHANCE Crib 7 | B1"
74,TOASTED,Castanhos,13,1,2,#A67A51,,TOASTED.jpg,467x467,live,TOASTED,[5/7],CHANCE Outdoor
75,BAKELITE,Castanhos,13,1,3,#8A6344,,BAKELITE.jpg,467x467,live,BAKELITE,[3/7],CHANCE Crib 7 | B1
76,CORDIAL,Castanhos,13,1,4,#89624F,,CORDIAL.jpg,467x467,live,CORDIAL,[3/7],
77,FOIL,Castanhos,13,1,5,#4C3A2E,,FOIL.jpg,467x467,live,FOIL,[3/7],
78,METAL,Castanhos,13,1,6,#554F4D,,METAL.jpg,467x467,live,METAL,[3/7],
79,MOTHWING,Castanhos,13,2,1,#74635A,,MOTHWING.jpg,467x467,live,MOTHWING,[5/7],CHANCE Outdoor
80,BEAVER,Castanhos,13,2,2,#7C5D41,,BEAVER.jpg,467x467,live,BEAVER,[3/7],CHANCE Bioblend
81,GINGERBREAD,Castanhos,13,2,3,#754832,,GINGERBREAD.jpg,467x467,live,GINGERBREAD,[3/7],CHANCE Outdoor
82,JAVA,Castanhos,13,2,4,#5F4538,,JAVA.jpg,467x467,live,JAVA,[3/7],
83,BISON,Castanhos,13,2,5,#564236,,BISON.jpg,467x467,live,BISON,[3/7],
84,SOULMATE,Castanhos,13,2,6,#595154,,SOULMATE.jpg,467x467,live,SOULMATE,[3/7],
85,PHANTOM,Castanhos,13,3,1,#5B5149,,PHANTOM.jpg,467x467,live,PHANTOM,[5/7],
86,PARTRIDGE,Castanhos,13,3,2,#7B6959,,PARTRIDGE.jpg,467x467,live,PARTRIDGE,[3/7],
87,PENNY,Castanhos,13,3,3,#5F382A,,PENNY.jpg,467x467,live,PENNY,[3/7],
88,MAIZE,Castanhos,13,3,4,#594131,,MAIZE.jpg,467x467,live,MAIZE,[3/7],
89,LONDON,Castanhos,13,3,5,#403A2D,,LONDON.jpg,467x467,live,LONDON,[3/7],
90,DEEPFOREST,Castanhos,13,3,6,#342B28,,DEEPFOREST.jpg,467x467,live,DEEPFOREST,[3/7],
91,EXPRESSO,Castanhos,13,4,1,#4D443D,,EXPRESSO.jpg,467x467,live,EXPRESSO,[3/7],CHANCE Crib 5
92,MATEO,Castanhos,13,4,2,#474023,,MATEO.jpg,467x467,live,MATEO,[7/7],
93,RAISIN,Castanhos,13,4,3,#593C2D,,RAISIN.jpg,467x467,live,RAISIN,[3/7],CHANCE Crib 7 | B1
94,SYRUP,Castanhos,13,4,4,#48302A,,SYRUP.jpg,467x467,live,SYRUP,[3/7],
95,ROCKWOOD,Castanhos,13,4,5,#362C26,,ROCKWOOD.jpg,467x467,live,ROCKWOOD,[3/7],CHANCE Outdoor
96,MOCHA,Castanhos,13,4,6,#352827,,MOCHA.jpg,467x467,live,MOCHA,[3/7],
97,PUNCH,Vermelhos,14,1,1,#E95056,,PUNCH.jpg,467x467,live,PUNCH,[2/7],
98,JAM,Vermelhos,14,1,4,#821F2B,,JAM.jpg,467x467,live,JAM,[2/7],
99,SCEPTRE,Vermelhos,14,1,5,#801F24,,SCEPTRE.jpg,467x467,live,SCEPTRE,[2/7],
100,GARNET,Vermelhos,14,1,6,#782126,,GARNET.jpg,467x467,live,GARNET,[2/7],
101,BEET,Vermelhos,14,2,3,#A51722,,BEET.jpg,467x467,live,BEET,[2/7],
102,RUBY,Vermelhos,14,2,4,#8D1D25,,RUBY.jpg,467x467,live,RUBY,[2/7],CHANCE Outdoor
103,STOPSIGN,Vermelhos,14,3,1,#C61C21,,STOPSIGN.jpg,467x467,live,STOPSIGN,[2/7],CHANCE Outdoor
104,SCARLET,Vermelhos,14,3,2,#B61B20,,SCARLET.jpg,467x467,live,SCARLET,[2/7],
105,CHILLY,Vermelhos,14,3,4,#972320,,CHILLY.jpg,467x467,live,CHILLY,[2/7],
106,SAMBA,Vermelhos,14,3,5,#852625,,SAMBA.jpg,467x467,live,SAMBA,[2/7],
107,REDWOOD,Vermelhos,14,3,6,#6C2725,,REDWOOD.jpg,467x467,live,REDWOOD,[2/7],CHANCE Crib 7 | B1
108,CARDINAL,Vermelhos,14,4,2,#9A1F22,,CARDINAL.jpg,467x467,live,CARDINAL,[2/7],
109,CORDOVAN,Vermelhos,14,4,5,#593435,,CORDOVAN.jpg,467x467,live,CORDOVAN,[3/7],
110,REDBROWN,Vermelhos,14,4,6,#4D1F20,,REDBROWN.jpg,467x467,live,REDBROWN,[2/7],
111,CANTALOUPE,Laranjas / corais,15,1,3,#C9773F,,CANTALOUPE.jpg,467x467,live,CANTALOUPE,[6/7],
112,HEAT,Laranjas / corais,15,1,4,#AC5D1E,,HEAT.jpg,467x467,live,HEAT,[6/7],
113,SAFFON,Laranjas / corais,15,1,5,#984B11,,SAFFON.jpg,467x467,live,SAFFON,[6/7],
114,TERRACOTA,Laranjas / corais,15,1,6,#995629,,TERRACOTA.jpg,467x467,live,TERRACOTA,[6/7],CHANCE Crib 7 | B1
115,TIGER,Laranjas / corais,15,2,1,#F68D1E,,TIGER.jpg,467x467,live,TIGER,[6/7],
116,SALMON,Laranjas / corais,15,2,2,#DE8052,,SALMON.jpg,467x467,live,SALMON,[6/7],
117,PEACH,Laranjas / corais,15,2,4,#CA8A60,,PEACH.jpg,467x467,live,PEACH,[6/7],CHANCE Outdoor
118,BROWN,Laranjas / corais,15,2,5,#965B3E,,BROWN.jpg,467x467,live,BROWN,[6/7],
119,BURNT,Laranjas / corais,15,2,6,#864935,,BURNT.jpg,467x467,new,,,
120,SIENNA,Laranjas / corais,15,3,1,#E76A1F,,SIENNA.jpg,467x467,live,SIENNA,[6/7],CHANCE Outdoor
121,POPPY,Laranjas / corais,15,3,2,#DF5C27,,POPPY.jpg,467x467,live,POPPY,[6/7],
122,STARFISH,Laranjas / corais,15,3,3,#C7563E,,STARFISH.jpg,467x467,live,STARFISH,[6/7],
123,OCHRE,Laranjas / corais,15,3,5,#994533,,OCHRE.jpg,467x467,live,OCHRE,[6/7],
124,COGNAC,Laranjas / corais,15,3,6,#7B3023,,COGNAC.jpg,467x467,live,COGNAC,[6/7],CHANCE Crib 7 | B1
125,FIESTA,Laranjas / corais,15,4,1,#E24B1E,,FIESTA.jpg,467x467,live,FIESTA,[6/7],
126,CORAL,Laranjas / corais,15,4,2,#C33C25,,CORAL.jpg,467x467,live,CORAL,[6/7],
127,FLAME,Laranjas / corais,15,4,4,#C25433,,FLAME.jpg,467x467,live,FLAME,[6/7],
128,CLAY,Laranjas / corais,15,4,5,#B83F25,,CLAY.jpg,467x467,live,CLAY,[6/7],
129,CRAB,Laranjas / corais,15,4,6,#9D362B,,CRAB.jpg,467x467,live,CRAB,[6/7],
130,MARIGOLD,Amarelos / dourados,17,1,1,#F5AA02,,MARIGOLD.jpg,467x467,live,MARIGOLD,[6/7],CHANCE Crib 7 | B1
131,SUNFLOWER,Amarelos / dourados,17,1,2,#F7AF13,,SUNFLOWER.jpg,467x467,live,SUNFLOWER,[6/7],
132,HAPPY,Amarelos / dourados,17,1,4,#F7E16A,,HAPPY.jpg,467x467,live,HAPPY,[6/7],CHANCE Outdoor
133,MIMOSA,Amarelos / dourados,17,1,6,#DCBD90,,MIMOSA.jpg,467x467,live,MIMOSA,[6/7],
134,PRIMROSE,Amarelos / dourados,17,2,1,#FCB204,,PRIMROSE.jpg,467x467,live,PRIMROSE,[6/7],
135,SUNNY,Amarelos / dourados,17,2,2,#FAAA52,,SUNNY.jpg,467x467,live,SUNNY,[6/7],
136,DUNE,Amarelos / dourados,17,2,3,#F9B65F,,DUNE.jpg,623x623,new,,,
137,BUTTERCUP,Amarelos / dourados,17,2,4,#FAD87D,,BUTTERCUP.jpg,467x467,live,BUTTERCUP,[6/7],
138,SHEEN,Amarelos / dourados,17,2,6,#D4B96D,,SHEEN.jpg,467x467,live,SHEEN,[6/7],
139,FUSION,Amarelos / dourados,17,3,1,#FBBA01,,FUSION.jpg,467x467,live,FUSION,[6/7],
140,CANARY,Amarelos / dourados,17,3,2,#FAC101,,CANARY.jpg,467x467,live,CANARY,[6/7],
141,SPECTRO,Amarelos / dourados,17,3,3,#E69A1A,,SPECTRO.jpg,467x467,live,SPECTRO,[6/7],
142,BRAVE,Amarelos / dourados,17,3,4,#CD923E,,BRAVE.jpg,467x467,live,BRAVE,[6/7],CHANCE Crib 7 | B1
143,GOLD,Amarelos / dourados,17,3,5,#BE9345,,GOLD.jpg,467x467,live,GOLD,[6/7],
144,FLAXEN,Amarelos / dourados,17,3,6,#8F7211,,FLAXEN.jpg,467x467,live,FLAXEN,[6/7],
145,RADIANT,Amarelos / dourados,17,4,1,#FBB701,,RADIANT.jpg,467x467,live,RADIANT,[6/7],CHANCE Outdoor
146,TUMERIC,Amarelos / dourados,17,4,3,#AD6C06,,TUMERIC.jpg,467x467,live,TUMERIC,[6/7],
147,BABOUCHE,Amarelos / dourados,17,4,4,#C39551,,BABOUCHE.jpg,467x467,live,BABOUCHE,[6/7],
148,INDIA,Amarelos / dourados,17,4,5,#92672F,,INDIA.jpg,467x467,live,INDIA,[6/7],
149,SALON,Amarelos / dourados,17,4,6,#835F3E,,SALON.jpg,467x467,live,SALON,[6/7],
150,FOLLIAGE,Verdes,18,1,1,#A5C88E,,FOLLIAGE.jpg,467x467,live,FOLLIAGE,[7/7],
151,ASPARAGUS,Verdes,18,1,2,#74B381,,ASPARAGUS.jpg,467x467,live,ASPARAGUS,[7/7],
152,GREENERY,Verdes,18,1,3,#41AF62,,GREENERY.jpg,467x467,live,GREENERY,[7/7],
153,AMAZON,Verdes,18,1,4,#028A59,,AMAZON.jpg,467x467,live,AMAZON,[7/7],
154,TREETOP,Verdes,18,1,5,#066D52,,TREETOP.jpg,467x467,live,TREETOP,[7/7],
155,EVERGREEN,Verdes,18,1,6,#017255,,EVERGREEN.jpg,623x623,new,,,CHANCE Mediflex
156,PEPERMINT,Verdes,18,2,1,#A0BE58,,PEPERMINT.jpg,623x624,live,PEPERMINT,[7/7],
157,CELERY,Verdes,18,2,2,#ABBC58,,CELERY.jpg,467x467,live,CELERY,[7/7],CHANCE Outdoor
158,PARROT,Verdes,18,2,3,#99B62F,,PARROT.jpg,467x467,live,PARROT,[7/7],
159,CACTUS,Verdes,18,2,4,#4D6630,,CACTUS.jpg,467x467,live,CACTUS,[7/7],
160,EDEN,Verdes,18,2,5,#204832,,EDEN.jpg,467x467,live,EDEN,[7/7],CHANCE Crib 7 | B1
161,DRAGONFLY,Verdes,18,2,6,#304136,,DRAGONFLY.jpg,467x467,live,DRAGONFLY,[7/7],
162,OASIS,Verdes,18,3,1,#ACB850,,OASIS.jpg,624x623,new,,,
163,LIME,Verdes,18,3,2,#AEB289,,LIME.jpg,467x467,new,,,CHANCE Mediflex
164,CELADON,Verdes,18,3,3,#686856,,CELADON.jpg,467x467,live,CELADON,[7/7],
165,CAMPSITE,Verdes,18,3,4,#444236,,CAMPSITE.jpg,467x467,live,CAMPSITE,[7/7],
166,FIR,Verdes,18,3,5,#363A35,,FIR.jpg,467x467,live,FIR,[7/7],CHANCE Outdoor
167,EVERGLADE,Verdes,18,3,6,#2D3B33,,EVERGLADE.jpg,467x467,live,EVERGLADE,[7/7],
168,SPROUT,Verdes,18,4,1,#ADAA25,,SPROUT.jpg,467x467,live,SPROUT,[7/7],
169,PEAR,Verdes,18,4,2,#999140,,PEAR.jpg,467x467,live,PEAR,[7/7],
170,CYPRESS,Verdes,18,4,3,#6C6846,,CYPRESS.jpg,467x467,live,CYPRESS,[7/7],CHANCE Crib 7 | B1
171,ARMY,Verdes,18,4,4,#65604C,,ARMY.jpg,467x467,live,ARMY,[7/7],
172,JUNIPER,Verdes,18,4,5,#4A4123,,JUNIPER.jpg,467x467,live,JUNIPER,[7/7],
173,MILITAR,Verdes,18,4,6,#414424,,MILITAR.jpg,467x467,live,MILITAR,[7/7],
174,VIRIDIAN,Aquas / turquesas,19,1,1,#057F76,,VIRIDIAN.jpg,467x467,live,VIRIDIAN,[4/7],
175,TEAL,Aquas / turquesas,19,1,2,#017780,,TEAL.jpg,467x467,live,TEAL,[4/7],"CHANCE Outdoor, CHANCE Crib 7 | B1"
176,OCEAN,Aquas / turquesas,19,1,3,#015375,,OCEAN.jpg,467x467,live,OCEAN,[4/7],"CHANCE Mediflex, CHANCE Crib 7 | B1"
177,VICTORIA,Aquas / turquesas,19,1,4,#275067,,VICTORIA.jpg,623x623,new,,,CHANCE Mediflex
178,YALE,Aquas / turquesas,19,1,5,#36596E,,YALE.jpg,467x467,live,YALE,[4/7],
179,SHERPA,Aquas / turquesas,19,1,6,#1A313B,,SHERPA.jpg,467x467,live,SHERPA,[4/7],
180,LAGOON,Aquas / turquesas,19,2,1,#5BB8AE,,LAGOON.jpg,623x624,new,,,
181,ACQUAGREEN,Aquas / turquesas,19,2,2,#01A699,,ACQUAGREEN.jpg,467x467,live,ACQUAGREEN,[4/7],
182,ISLAND,Aquas / turquesas,19,2,3,#018695,,ISLAND.jpg,467x467,live,ISLAND,[4/7],
183,PERSIAN,Aquas / turquesas,19,2,4,#3E8184,,PERSIAN.jpg,467x467,live,PERSIAN,[4/7],
184,MAYA,Aquas / turquesas,19,2,5,#016CC5,,MAYA.jpg,467x467,live,MAYA,[4/7],
185,DAPHNE,Aquas / turquesas,19,2,6,#0150A1,,DAPHNE.jpg,467x467,live,DAPHNE,[4/7],CHANCE Outdoor
186,DUSTYAQUA,Aquas / turquesas,19,3,1,#71C3B0,,DUSTYAQUA.jpg,467x467,live,DUSTYAQUA,[4/7],
187,TIFFANY,Aquas / turquesas,19,3,2,#04B9B4,,TIFFANY.jpg,467x467,live,TIFFANY,[4/7],
188,TULUM,Aquas / turquesas,19,3,3,#0196A6,,TULUM.jpg,467x467,live,TULUM,[4/7],
189,MONICA,Aquas / turquesas,19,3,5,#1586AD,,MONICA.jpg,467x467,live,MONICA,[4/7],
190,PIPA,Aquas / turquesas,19,3,6,#01588F,,PIPA.jpg,467x467,live,PIPA,[4/7],
191,BEACHGLASS,Aquas / turquesas,19,4,2,#65DDD9,,BEACHGLASS.jpg,467x467,live,BEACHGLASS,[4/7],
192,ACQUAMARINE,Aquas / turquesas,19,4,3,#98CAC6,,ACQUAMARINE.jpg,467x467,live,ACQUAMARINE,[4/7],
193,BAHAMAS,Aquas / turquesas,19,4,4,#91B5B0,,BAHAMAS.jpg,467x467,live,BAHAMAS,[4/7],"CHANCE Outdoor, CHANCE Crib 7 | B1"
194,BONDI,Aquas / turquesas,19,4,5,#3C9EB0,,BONDI.jpg,467x467,live,BONDI,[4/7],
195,REEF,Aquas / turquesas,19,4,6,#0176A7,,REEF.jpg,467x467,live,REEF,[4/7],CHANCE Outdoor
196,ADRIFT,Azuis,21,1,2,#A59EA8,,ADRIFT.jpg,467x467,live,ADRIFT,[4/7],
197,BARTS,Azuis,21,1,3,#8F8F9B,,BARTS.jpg,467x467,live,BARTS,[4/7],
198,CALIFORNIA,Azuis,21,1,4,#837A79,,CALIFORNIA.jpg,467x467,live,CALIFORNIA,[1/7],
199,TIDEWATER,Azuis,21,1,6,#262C30,,TIDEWATER.jpg,467x467,live,TIDEWATER,[4/7],
200,FROST,Azuis,21,2,1,#BFC3C6,,FROST.jpg,467x467,live,FROST,[4/7],
201,CELESTIAL,Azuis,21,2,2,#A9B3BF,,CELESTIAL.jpg,467x467,live,CELESTIAL,[4/7],CHANCE Outdoor
202,SANTORINI,Azuis,21,2,3,#717D8D,,SANTORINI.jpg,467x467,live,SANTORINI,[4/7],CHANCE Outdoor
203,ALPINE,Azuis,21,2,4,#4D545F,,ALPINE.jpg,467x467,live,ALPINE,[4/7],
204,CAVIAR,Azuis,21,2,5,#252F3C,,CAVIAR.jpg,467x467,live,CAVIAR,[4/7],
205,SPRUCE,Azuis,21,3,3,#2D4266,,SPRUCE.jpg,467x467,live,SPRUCE,[4/7],
206,ENDLESS,Azuis,21,3,4,#3A455D,,ENDLESS.jpg,467x467,live,ENDLESS,[4/7],
207,MAREA,Azuis,21,3,6,#2A2F39,,MAREA.jpg,467x467,live,MAREA,[4/7],
208,SKY,Azuis,21,4,1,#88A5D2,,SKY.jpg,467x467,live,SKY,[4/7],
209,REFLEX,Azuis,21,4,2,#4480B2,,REFLEX.jpg,623x623,new,,,CHANCE Mediflex
210,MACAW,Azuis,21,4,3,#2C4375,,MACAW.jpg,467x467,live,MACAW,[4/7],
211,LOYAL,Azuis,21,4,4,#313461,,LOYAL.jpg,467x467,live,LOYAL,[4/7],CHANCE Outdoor
212,NAVY,Azuis,21,4,5,#242B44,,NAVY.jpg,467x467,live,NAVY,[4/7],"CHANCE Outdoor, CHANCE Crib 7 | B1"
213,FORCE,Azuis,21,4,6,#2A2A3B,,FORCE.jpg,467x467,live,FORCE,[4/7],
214,JOANNA,Rosas / lilases,22,1,1,#F2C1AE,,JOANNA.jpg,467x467,live,JOANNA,[2/7],
215,BLUSH,Rosas / lilases,22,1,2,#C7AA96,,BLUSH.jpg,467x467,live,BLUSH,[2/7],CHANCE Bioblend
216,MIDDLETON,Rosas / lilases,22,1,3,#E3B0A7,,MIDDLETON.jpg,467x467,live,MIDDLETON,[2/7],"CHANCE Mediflex, CHANCE Outdoor, CHANCE Crib 7 | B1"
217,CONFETTI,Rosas / lilases,22,1,4,#EBC8D9,,CONFETTI.jpg,467x467,live,CONFETTI,[2/7],
218,LILY,Rosas / lilases,22,1,5,#C29BCD,,LILY.jpg,467x467,live,LILY,[2/7],
219,ARCADIA,Rosas / lilases,22,1,6,#9A76C7,,ARCADIA.jpg,467x467,live,ARCADIA,[2/7],
220,ANDREA,Rosas / lilases,22,2,1,#F8B9A2,,ANDREA.jpg,468x467,live,ANDREA,[2/7],
221,NUDE,Rosas / lilases,22,2,2,#BB9685,,NUDE.jpg,467x467,live,NUDE,[2/7],
222,CALAMINE,Rosas / lilases,22,2,3,#BA8B88,,CALAMINE.jpg,467x467,live,CALAMINE,[2/7],
223,RETHINK PINK,Rosas / lilases,22,2,4,#F66CB3,,RETHINK-PINK.jpg,467x467,live,RETHINK PINK,[2/7],
224,ORCHID,Rosas / lilases,22,2,5,#6D4993,,ORCHID.jpg,467x467,live,ORCHID,[2/7],
225,STARFLOWER,Rosas / lilases,22,2,6,#5F5AC8,,STARFLOWER.jpg,467x467,live,STARFLOWER,[2/7],
226,BOUQUET,Rosas / lilases,22,3,2,#846276,,BOUQUET.jpg,467x467,live,BOUQUET,[2/7],
227,RANGWALI,Rosas / lilases,22,3,3,#AE727B,,RANGWALI.jpg,467x467,live,RANGWALI,[2/7],
228,ROSE,Rosas / lilases,22,3,4,#C8366A,,ROSE.jpg,467x467,live,ROSE,[2/7],CHANCE Outdoor
229,ROYAL,Rosas / lilases,22,3,5,#702B73,,ROYAL.jpg,467x467,live,ROYAL,[2/7],
